area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Chikkabanavar,1 Bedroom,,24,No Access,1200,1.0,0.0,20.0
Plot  Area,18-Aug,ITPL,3 Bedroom,,64,No Access,1200,3.0,1.0,56.12
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Abeesmi,170,No Access,1255,2.0,2.0,67.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,179,Paved,2112.95,4.0,2.0,145.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,163,Gravel,600,1.0,1.0,22.0
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,79,No Access,1810,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,,94,No Access,1200,2.0,2.0,93.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,,62,Paved,1033,2.0,2.0,49.0
Super built-up  Area,Ready To Move,ITPL,3 BHK,,73,No Access,1548,3.0,2.0,89.5
Super built-up  Area,18-May,Horamavu Banaswadi,3 BHK,,106,Paved,1611,3.0,3.0,66.0
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,62,Gravel,1400,2.0,1.0,40.43
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,Graceik,170,Gravel,1485,2.0,2.0,67.0
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,,92,Gravel,2400,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,Shvarji,115,Paved,1025,2.0,1.0,44.5
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,,79,No Access,600,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Hallehalli,2 BHK,,19,Gravel,1225,2.0,,53.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,171,Gravel,1256,2.0,1.0,62.8
Super built-up  Area,Ready To Move,Whitefield,4 BHK,ArsiaEx,74,Paved,2268,3.0,2.0,163.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,92,Paved,1100,3.0,2.0,53.0
Super built-up  Area,Ready To Move,Vadarpalya,2 BHK,VMianri,118,Gravel,1141,2.0,0.0,62.0
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,75,Gravel,400,1.0,1.0,12.0
Plot  Area,Ready To Move,Chandapura,2 Bedroom,,111,Gravel,1400,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Kattigenahalli,7 BHK,,104,Paved,4100,7.0,,140.0
Plot  Area,18-Mar,Marathi Layout,1 Bedroom,,18,Gravel,5.31Acres,1.0,0.0,110.0
Carpet  Area,Ready To Move,Weavers Colony,1 BHK,,70,Paved,15,1.0,0.0,30.0
Super built-up  Area,Ready To Move,Raghavendra Nagar,2 BHK,,131,Paved,1175,2.0,2.0,48.27
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,118,Paved,1100,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,188,Paved,1843,3.0,2.0,95.84
Plot  Area,Ready To Move,1st Phase JP Nagar,8 Bedroom,,195,Paved,1200,7.0,2.0,240.0
Super built-up  Area,19-Dec,Horamavu Banaswadi,2 BHK,,159,Gravel,1460,2.0,1.0,80.5
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,132,Gravel,1530,2.0,2.0,74.5
Built-up  Area,Ready To Move,HSR Layout,2 BHK,,93,Gravel,1467,2.0,1.0,55.0
Super built-up  Area,Ready To Move,KR Layout,1 BHK,,191,No Access,950,1.0,1.0,40.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,50,Gravel,1246,2.0,1.0,64.5
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,200,Paved,711,1.0,1.0,38.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,63,Paved,1194,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,ARngsd ,157,No Access,1358,2.0,1.0,43.4
Carpet  Area,Ready To Move,Nagasandra,6 Bedroom,,8,Gravel,1500,5.0,1.0,130.0
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Goeur G,39,No Access,1420,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,18,Gravel,1250,2.0,1.0,68.75
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,140,Paved,1280,2.0,,58.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,Gruesaf,167,Gravel,1209,2.0,1.0,50.0
Built-up  Area,Ready To Move,Kempapura,5 Bedroom,,98,Gravel,4200,5.0,2.0,225.0
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,,107,Gravel,1215,4.0,3.0,205.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,111,No Access,1315,2.0,1.0,54.8
Super built-up  Area,Ready To Move,Kariyammana Agrahara,3 BHK,,91,Paved,1800,3.0,3.0,90.0
Built-up  Area,Ready To Move,Hessarghatta,5 Bedroom,,193,Paved,1600,4.0,0.0,125.0
Super built-up  Area,Ready To Move,TC Palaya,3 BHK,RKncyha,105,Gravel,1600,2.0,2.0,65.0
Plot  Area,Ready To Move,Binnamangala,6 Bedroom,,182,Paved,3968,5.0,2.0,900.0
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,47,Gravel,1563,3.0,2.0,52.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SRidePr,153,Paved,1560,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Krrbsil,106,Gravel,2169,4.0,,115.0
Plot  Area,Ready To Move,Lakshmi Layout,9 Bedroom,,97,Paved,900,10.0,,170.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,185,Paved,1050,2.0,2.0,55.5
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,39,Gravel,3235,3.0,1.0,235.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,76,Gravel,1200,3.0,0.0,66.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,182,No Access,1140,2.0,2.0,46.0
Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,,145,No Access,1500,3.0,1.0,170.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,93,Paved,1560,3.0,2.0,75.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Saowsri,37,No Access,1100,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,77,Paved,1260,2.0,3.0,40.32
Super built-up  Area,18-Mar,Hebbal,2 BHK,Arcia S,105,Gravel,1036,2.0,1.0,50.0
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,84,Gravel,1662,3.0,3.0,85.1
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,PuontBe,19,Paved,1464,2.0,3.0,105.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,NCowsar,127,Gravel,1234,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,14,Paved,1403,3.0,1.0,55.0
Plot  Area,Ready To Move,Kadugondanahalli,4 Bedroom,,31,Gravel,915,4.0,1.0,54.9
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,75,Gravel,3000,8.0,3.0,451.0
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,,120,Gravel,1150,2.0,2.0,42.9
Built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,49,No Access,3900,4.0,2.0,410.0
Built-up  Area,Ready To Move,Yeshwanthpur,5 Bedroom,,98,Paved,850,4.0,2.0,90.0
Super built-up  Area,18-Mar,Kanakapura,2 BHK,,113,No Access,929,2.0,1.0,46.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,5,No Access,2400,8.0,3.0,450.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,60,Paved,1350,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,115,Gravel,1135,2.0,1.0,39.73
Built-up  Area,Ready To Move,Basava Nagar,2 BHK,Saarea ,35,Gravel,1405,2.0,2.0,70.0
Plot  Area,18-Sep,Whitefield,2 Bedroom,,41,No Access,1200,2.0,1.0,45.84
Super built-up  Area,18-Apr,Haralur Road,4 BHK,SNnia E,185,Gravel,2805,4.0,3.0,154.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,14,Paved,1161,2.0,2.0,64.08
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,Soena A,192,Paved,1290,2.0,3.0,74.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,108,Paved,2557,3.0,2.0,141.0
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,Raaden ,128,No Access,1480,3.0,2.0,90.0
Plot  Area,Ready To Move,BTM 1st Stage,9 Bedroom,Srvasks,139,Gravel,3300,14.0,,500.0
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,SheldGr,99,No Access,1350,3.0,0.0,54.54
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,76,Paved,1580,2.0,2.0,65.0
Super built-up  Area,17-Oct,Banashankari,3 BHK,,27,Gravel,1470,2.0,1.0,88.64
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,,19,Paved,500,1.0,1.0,14.0
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,78,Paved,1346,2.0,1.0,61.92
Super built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,,151,No Access,1600,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Naganathapura,2 BHK,,162,Paved,720,2.0,1.0,120.0
Plot  Area,19-Mar,Narasapura,2 Bedroom,,169,Gravel,30Acres,2.0,2.0,29.5
Plot  Area,Ready To Move,Manjunath Nagar,4 Bedroom,,196,Paved,1200,4.0,0.0,135.0
Super built-up  Area,Ready To Move,Basapura,2 BHK,RMncy R,52,No Access,1200,2.0,2.0,35.0
Built-up  Area,Ready To Move,Channasandra,3 BHK,Pritehi,41,Gravel,1340,2.0,2.0,48.33
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,33,Gravel,6136,4.0,,560.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,7,Gravel,918,2.0,2.0,48.0
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,CoiewSy,52,Gravel,1500,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,11,No Access,1315,2.0,2.0,85.0
Plot  Area,Ready To Move,Sector 1 HSR Layout,4 Bedroom,,68,Paved,2400,5.0,,775.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,14,Paved,1390,2.0,2.0,62.55
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,40,Gravel,1330,2.0,1.0,56.0
Built-up  Area,Ready To Move,Jalahalli,5 BHK,BrardCo,80,Paved,3100,4.0,,265.0
Super built-up  Area,17-Dec,Mango Garden Layout,3 BHK,Ceral C,79,Gravel,1824,3.0,3.0,125.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,76,Paved,1420,2.0,2.0,96.0
Plot  Area,Ready To Move,Kacharakanahalli,1 Bedroom,,185,No Access,750,1.0,0.0,56.25
Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,ShshaSa,68,Paved,1260,2.0,1.0,60.0
Super built-up  Area,19-Sep,Hennur Road,3 BHK,Orens G,52,No Access,1561,3.0,2.0,95.0
Plot  Area,Ready To Move,5th Phase JP Nagar,9 Bedroom,,19,No Access,812,6.0,3.0,165.0
Super built-up  Area,Ready To Move,"Bidere Agarahara, Behind Safal market",2 BHK,,62,Paved,1060,2.0,2.0,42.0
Plot  Area,Ready To Move,Hoodi,8 Bedroom,,150,No Access,1120,8.0,3.0,145.0
Super built-up  Area,18-Jul,Haralur Road,2 BHK,SNnia E,67,Paved,1225,2.0,1.0,67.38
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,126,No Access,2144,3.0,2.0,135.0
Plot  Area,Ready To Move,Kengeri,7 Bedroom,,113,Paved,1200,6.0,2.0,140.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,192,Paved,880,2.0,2.0,29.0
Super built-up  Area,21-Dec,Hoodi,3 BHK,GoAirej,103,No Access,1639,3.0,2.0,110.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,61,Paved,1240,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,25,Gravel,1500,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,199,Gravel,1243,2.0,1.0,46.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Aiitya ,200,Gravel,1575,3.0,,78.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,144,Paved,1027,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,86,Paved,1082,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,,164,No Access,1637,3.0,3.0,73.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,29,No Access,1665,3.0,2.0,86.58
Super built-up  Area,18-Dec,Electronic City,2 BHK,GoontLa,172,Paved,1265,2.0,0.0,56.93
Super built-up  Area,21-Dec,Electronic City,3 BHK,KonteiT,166,Paved,1691,2.0,2.0,102.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,150,Gravel,1100,2.0,1.0,38.0
Built-up  Area,Ready To Move,Grihalakshmi Layout,5 Bedroom,,99,Gravel,24,2.0,2.0,150.0
Plot  Area,19-Jan,Gopalkrishna Nagar,3 Bedroom,,192,No Access,1500,3.0,2.0,62.0
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,185,Gravel,3205,5.0,1.0,380.0
Built-up  Area,Ready To Move,Kammanahalli,5 Bedroom,,30,Gravel,1666,4.0,1.0,150.0
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRhtiru,1,Gravel,1115,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Brama P,143,No Access,1070,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Aentsbe,102,Paved,1128,2.0,2.0,105.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,162,No Access,1162,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Sai Gardens,2 BHK,Alivae ,46,No Access,1339,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,195,No Access,1192,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,105,Paved,1920,3.0,1.0,115.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,101,Gravel,1255,2.0,1.0,52.32
Super built-up  Area,18-Apr,Rajaji Nagar,2 BHK,ProdsWe,26,No Access,1357,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3 BHK,,139,Gravel,1600,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,Saersel,73,Gravel,1225,2.0,2.0,55.11
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Saark H,200,No Access,2400,4.0,3.0,200.0
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,153,Paved,1570,3.0,3.0,80.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,93,No Access,1093,2.0,2.0,70.0
Built-up  Area,Ready To Move,Basaveshwara Nagar,3 BHK,Suncy R,155,Gravel,1865,3.0,3.0,145.0
Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,16,Gravel,1200,7.0,3.0,165.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,28,Gravel,1039,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,61,No Access,1246,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,36,No Access,1985,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,APncyla,132,Paved,1590,3.0,3.0,49.0
Plot  Area,Ready To Move,Hunasamaranahalli,4 Bedroom,EmardBo,171,Paved,4000,4.0,2.0,675.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,6,Paved,775,2.0,2.0,38.0
Super built-up  Area,Ready To Move,RWF West Colony,2 BHK,PancyRe,97,Gravel,1000,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,76,No Access,1800,3.0,2.0,175.0
Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,9,Paved,1035,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Syonyph,64,Paved,1520,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,78,No Access,1360,2.0,1.0,95.0
Plot  Area,Ready To Move,Bileshivale,4 Bedroom,FeowsMe,71,Gravel,6000,5.0,3.0,400.0
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,170,Gravel,1117,2.0,2.0,56.0
Plot  Area,Ready To Move,KR Puram,4 Bedroom,Esnamin,4,No Access,1200,4.0,3.0,120.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,BrontLa,28,Paved,1330,2.0,1.0,92.5
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,117,Gravel,1937,3.0,2.0,160.0
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,170,No Access,1128,2.0,1.0,65.49
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,NatisAt,67,Paved,1053,2.0,1.0,45.0
Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,109,No Access,1198,2.0,1.0,77.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,Spows M,110,No Access,1152,2.0,1.0,56.0
Super built-up  Area,17-Dec,1st Block Jayanagar,6 BHK,,28,Paved,1200,6.0,2.0,125.0
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Maentr ,26,Gravel,1625,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,140,Paved,1397,3.0,3.0,105.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Saade E,149,No Access,1523,3.0,3.0,170.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,95,No Access,883,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,99,Paved,700,1.0,0.0,38.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Neite T,78,Paved,1170,2.0,1.0,62.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Shiew T,137,Paved,1200,2.0,2.0,42.0
Built-up  Area,Ready To Move,Manayata Tech Park,3 BHK,,71,Gravel,2400,3.0,2.0,170.0
Super built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,73,No Access,1480,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,5,No Access,1897,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,167,No Access,996,2.0,1.0,67.0
Super built-up  Area,18-May,Haralur Road,3 BHK,SNnia E,111,No Access,1875,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Williams Town,3 BHK,,81,Gravel,1500,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Jaya Nagar East,3 BHK,Maens G,15,No Access,3095,3.0,3.0,350.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,SJarkte,47,Paved,1390,2.0,1.0,175.0
Super built-up  Area,20-Dec,Yelahanka,3 BHK,Un 46th,38,Gravel,1445 - 1455,3.0,0.0,65.255
Super built-up  Area,17-Nov,Yelahanka,1 BHK,Prensya,79,Gravel,697,1.0,0.0,45.0
Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,82,Paved,710,1.0,1.0,27.0
Carpet  Area,Ready To Move,Iggalur,2 BHK,VaoldMa,24,Gravel,910,2.0,1.0,30.5
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,147,Gravel,1025,2.0,1.0,48.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,19,Paved,884 - 1116,2.0,0.0,46.5
Plot  Area,Ready To Move,Harlur,4 Bedroom,,90,Paved,1200,4.0,,244.0
Super built-up  Area,18-May,Horamavu Agara,3 BHK,,159,Paved,1453,2.0,1.0,46.48
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,117,No Access,3335,5.0,2.0,300.0
Super built-up  Area,18-Mar,Thanisandra,2 BHK,SLityee,80,No Access,850 - 1093,2.0,0.0,36.435
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,28,Gravel,1281,2.0,1.0,74.0
Built-up  Area,Ready To Move,Cooke Town,1 BHK,,11,No Access,565,1.0,1.0,35.0
Built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,150,Paved,1024,2.0,2.0,42.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,Suashen,50,Gravel,1620,3.0,2.0,62.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,157,Paved,1254,2.0,2.0,40.0
Built-up  Area,Ready To Move,Banashankari,3 BHK,Skave E,160,Gravel,1300,2.0,2.0,75.0
Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,130,Paved,1233,2.0,2.0,43.0
Plot  Area,Ready To Move,Chokkanahalli,1 Bedroom,,26,No Access,1200,1.0,1.0,28.0
Super built-up  Area,18-Oct,Hosur Road,3 BHK,PuendWe,100,Gravel,1510,2.0,1.0,105.0
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,133,Gravel,950,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,11,Gravel,1945,3.0,2.0,97.42
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shierhi,33,Paved,1008,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,28,Paved,1265,2.0,1.0,79.0
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,147,Gravel,1255,2.0,1.0,77.68
Built-up  Area,18-Dec,Kanakpura Road,4 BHK,PrityFa,30,Gravel,2689,6.0,2.0,220.0
Built-up  Area,Ready To Move,Yelenahalli,2 BHK,,142,Paved,1200,2.0,2.0,46.17
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,148,Paved,1403,3.0,3.0,51.63
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,166,No Access,1535,3.0,2.0,85.0
Plot  Area,Ready To Move,Chikkaballapur,3 Bedroom,,53,No Access,1500,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Chamrajpet,3 BHK,SihtsHe,199,Gravel,1475,2.0,2.0,120.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,18,Gravel,1390,2.0,2.0,60.47
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,3,Gravel,1278,2.0,1.0,53.76
Super built-up  Area,Ready To Move,VGP Layout,2 BHK,AbnceEs,152,No Access,1133,2.0,2.0,55.0
Plot  Area,Ready To Move,Classic Paradise Layout,5 Bedroom,,111,Gravel,1560,5.0,1.0,145.0
Plot  Area,Ready To Move,Byappanahalli,5 Bedroom,,119,Paved,2900,5.0,2.0,90.0
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,52,Paved,1170,2.0,1.0,51.99
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,,154,Paved,1200,3.0,3.0,200.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,6,Paved,1697,3.0,2.0,94.79
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,,131,Gravel,1651,3.0,3.0,97.38
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Siace P,172,Gravel,1560,3.0,1.0,188.0
Super built-up  Area,17-Apr,Hennur Road,3 BHK,Koagati,37,No Access,1192,2.0,1.0,60.0
Built-up  Area,Ready To Move,OMBR Layout,2 BHK,,100,Paved,1078,2.0,3.0,65.0
Plot  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,,193,Gravel,800,7.0,3.0,105.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Salisal,62,Paved,1349,2.0,2.0,78.0
Plot  Area,Ready To Move,Ulsoor,9 Bedroom,,41,Paved,2300,8.0,1.0,210.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,121,No Access,1680,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,,80,No Access,1314,2.0,2.0,63.0
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,34,Gravel,1060,2.0,1.0,48.7
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,SLnorMa,78,No Access,820,2.0,0.0,39.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Skensk ,94,No Access,5000,4.0,3.0,400.0
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,142,Paved,2000,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,37,No Access,856,2.0,3.0,40.0
Super built-up  Area,18-Feb,Rajaji Nagar,3 BHK,Puwerun,10,Paved,1621,4.0,0.0,130.0
Plot  Area,18-Dec,ITPL,3 Bedroom,,153,Paved,1200,3.0,1.0,68.4
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,TGjraVa,137,Gravel,1484,3.0,2.0,52.5
Plot  Area,Ready To Move,T.C. Palya,4 Bedroom,,55,No Access,600,5.0,2.0,60.0
Plot  Area,Ready To Move,Siddapura,4 Bedroom,Apavea ,14,Gravel,14000,3.0,2.0,800.0
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,192,Paved,500,1.0,1.0,20.0
Super built-up  Area,Ready To Move,Makali,1 BHK,,21,Paved,485,1.0,1.0,15.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,159,Paved,1050,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,55,Paved,1617,3.0,3.0,66.68
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,82,Paved,550,1.0,1.0,16.0
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,41,No Access,1384,3.0,2.0,62.28
Super built-up  Area,18-Apr,Devanahalli,2 BHK,,157,Paved,1408,2.0,2.0,85.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungsha,193,Gravel,1150,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,104,Paved,1410,2.0,2.0,75.0
Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,Adsia F,187,Paved,2150,4.0,1.0,100.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,42,Paved,2292,4.0,1.0,275.0
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,106,Gravel,2006,3.0,,297.0
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,155,Paved,1508,3.0,2.0,70.25
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Foghaa ,139,Paved,1040,2.0,2.0,50.0
